Countrycode;AirQualityStation;AirQualityStationEoICode;AirPollutant;AveragingTime;Concentration;UnitOfMeasurement;DatetimeBegin;DatetimeEnd;Validity;Verification
DE;STA.DE_DEBB007;DEBB007;O3;hour;60.54;µg/m3;2013-01-11 05:00:00 +01:00;2013-01-11 06:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;55.76;µg/m3;2013-01-11 06:00:00 +01:00;2013-01-11 07:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;49.16;µg/m3;2013-01-11 07:00:00 +01:00;2013-01-11 08:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;48.1;µg/m3;2013-01-11 08:00:00 +01:00;2013-01-11 09:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;49.73;µg/m3;2013-01-11 09:00:00 +01:00;2013-01-11 10:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;48.35;µg/m3;2013-01-11 10:00:00 +01:00;2013-01-11 11:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;50.47;µg/m3;2013-01-11 11:00:00 +01:00;2013-01-11 12:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;49.19;µg/m3;2013-01-11 13:00:00 +01:00;2013-01-11 14:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;45.77;µg/m3;2013-01-11 14:00:00 +01:00;2013-01-11 15:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;36.91;µg/m3;2013-01-11 15:00:00 +01:00;2013-01-11 16:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;38.54;µg/m3;2013-01-11 16:00:00 +01:00;2013-01-11 17:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;39.9;µg/m3;2013-01-11 20:00:00 +01:00;2013-01-11 21:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;41.16;µg/m3;2013-01-11 21:00:00 +01:00;2013-01-11 22:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;35.67;µg/m3;2013-01-11 22:00:00 +01:00;2013-01-11 23:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;33.61;µg/m3;2013-01-11 23:00:00 +01:00;2013-01-12 00:00:00 +01:00;1;1
