N	MeanD	Volume
1250	0.872144425	2552903
1251	0.799639479	2562074
1252	0.839489144	2872562
1253	1.160725594	1857830
1254	1.335324546	1559868
1255	1.287246009	1808633
1256	0.969893238	2544928
1257	0.693719156	3420915
1258	1.183697346	1562949
1259	1.731716868	1078888
1260	1.633417793	1133736
1261	1.511127706	1377584
1262	1.668465896	1186804
1263	1.219724176	2590452
1264	1.310663155	1518512
1265	1.853916351	1053718
1266	2.955299027	635660
1267	2.508811738	834970
1268	2.766725442	728873
1269	3.017267285	517423
1270	3.192896318	565520
1271	1.582503692	730993
1272	2.113911007	1056981
1273	1.587562023	1414013
1274	1.257262669	1729962
1275	0.950731297	2235911
1276	1.144289999	1797086
1277	1.1146408	1870635
1278	1.09827642	2058487
1279	0.918316515	2536964
1280	0.659496859	3683911
1281	0.959942265	2136579
1282	1.524991024	1585560
1283	0.954487271	2419444
1284	1.097643158	1967845
1285	0.892447374	2370689
1286	0.747924037	3286206
1287	1.143445881	1801108
1288	1.010192552	2064689
1289	1.285586116	1498298
1290	0.773302132	3830414
1291	1.165409998	2459362
1292	1.582853498	1685447
1293	0.926680025	3817480
1294	1.130465008	2543013
1295	1.935536447	1456018
1296	2.409853784	1031849
1297	2.071024386	1232739
1298	1.833731778	1199632
1299	2.29597181	1156668
