N	MeanD	Volume
453	3.377594693	1696200
454	2.300987261	2898812
455	3.462718213	2033840
456	4.248249165	1524264
457	2.763848845	2146049
458	2.561127866	2581039
459	3.13053662	1915089
460	2.90433896	3148633
461	2.121927859	3217639
462	2.685050584	2744982
463	2.56834686	2608412
464	2.317614187	3469667
465	2.409060314	2698025
466	2.024903103	2919565
467	2.80747494	2079176
468	2.67209456	2339799
469	1.936774649	3467531
470	1.67723111	3647418
471	2.224602021	3099657
472	0.843740634	9920227
473	1.030588748	7394762
474	1.678990317	3881447
475	1.707259074	4192162
476	2.277620825	2311498
477	2.026169872	3538040
478	2.326459514	2801361
479	2.520941013	2547655
480	2.215927302	3714664
481	2.303008569	3088442
482	2.011160223	3621442
483	1.661789659	4680243
484	2.390047912	2200489
485	2.15889991	2742839
486	2.636795336	2406358
487	1.71210942	3339834
488	1.710391876	3932721
489	2.498235755	2657521
490	1.684068364	4737662
491	1.881353828	2836115
492	2.089338417	3545196
493	3.242643555	1921290
494	2.033691703	2045465
495	2.315781746	3447077
496	2.467578626	2982074
497	2.295872233	2831227
498	1.621093683	4076767
499	1.548386965	3542200
500	1.926503491	3144305
501	2.330257882	2898369
502	2.058947677	3361287
503	2.372222223	2669505
504	3.351648593	1981537
505	1.530114915	6847641
506	2.958125823	2584011
507	1.81283301	1846515
508	2.062429104	3744760
509	1.786083246	3753887
510	1.28702574	5609870
511	1.071117129	7928220
512	1.660261553	4351957
513	1.394862911	5068143
514	1.739095872	3326340
515	1.506632055	3812327
516	1.75636741	4615982
517	1.3492187	4796353
518	1.138058197	6054467
519	1.053523352	6791647
520	1.278710996	5181773
521	0.649549588	9224609
522	0.624350416	8548554
523	0.78388822	6901366
524	0.828238709	7000473
525	1.221658803	5709220
526	1.769891351	3367047
527	1.627242538	3371805
528	1.641130162	3809412
529	1.718234597	3758909
530	1.735879706	3290763
531	1.590600595	4190583
532	1.219361753	6310223
533	0.873749885	8646632
534	1.344380856	4543955
535	1.69595176	4242918
536	1.723209683	3927967
537	1.397241927	4559299
538	1.54872358	4666785
539	1.663272512	4690117
540	2.015857338	3377899
541	2.482492286	3131615
542	1.701193822	4375891
543	2.022540353	3039017
544	2.363210788	2171431
545	1.372037217	5260079
546	2.412378632	2637714
547	1.453465037	4270622
548	1.814437087	3906332
549	1.797620231	4395847
550	1.964166217	3374576
551	1.771505074	3470554
552	1.602800359	3930550
553	1.948212722	3551208
554	2.40248538	2786909
555	1.712739007	4120938
556	2.326169848	2386086
557	1.299588559	5592059
558	1.735092935	3877603
559	0.923238849	8787331
560	1.076501506	6484850
561	1.112079553	5770631
562	1.187206852	7089306
563	1.222080243	6115574
564	1.040018714	8353334
565	1.79890059	3223381
566	1.90058713	2612822
567	2.289535141	2658152
568	2.472893135	2458879
569	2.24897107	2795813
570	1.682191284	3825011
571	1.690691488	3589345
572	1.608088469	3051733
573	2.363404692	2399904
574	2.499623256	2427250
575	3.029261042	1669022
576	2.814789667	2042461
577	1.643771844	3373792
578	1.439538701	4186941
579	1.584778316	4359043
580	2.158415856	3071866
581	1.421317876	6161520
582	1.816742143	3492984
583	2.130320706	3745778
584	2.179544049	2549691
585	2.043895575	2941180
586	1.837907645	3426221
587	1.987691358	3904973
588	1.074130952	6160994
589	1.515829914	4104483
590	1.38560204	5952154
591	2.035671552	3021232
592	1.265731236	5033551
593	3.637051464	1635355
594	1.676092152	3631216
595	1.678703887	4380415
596	2.235300645	3063194
597	1.834224344	3761658
598	3.547816762	1898020
599	3.297086083	1689477
600	2.720696311	2204128
601	2.533394141	1990412
602	1.683666402	4397095
603	2.35117519	2910199
604	1.890843969	3332955
605	1.488720334	4596323
606	1.692908781	4947777
607	1.826622012	2811421
608	4.911965637	1127119
609	1.875120091	2859581
610	1.930689836	3408546
611	1.534856769	3162515
612	1.711814457	3385030
613	1.7995389	3454585
614	2.729947837	1796082
615	1.995690854	3321366
616	1.708801623	3731274
617	1.368404064	5080552
618	1.520110794	3999593
619	1.755947235	3788425
620	1.754379001	3904068
621	1.987953386	3155195
622	1.677793382	3812842
623	2.48531963	2441230
624	2.181186816	2836394
625	2.036529942	2807864
626	1.836129425	3604411
627	2.09911973	4919833
628	2.083900957	2750556
629	1.16173766	6154950
630	1.91103845	3165124
631	1.700295174	3733493
632	1.579900923	3987851
633	1.634838208	4000068
634	1.728160894	3325610
635	2.039924704	2996170
636	1.453316862	4002742
637	3.818744132	1563783
638	2.513419758	2559671
639	1.742680968	4186997
640	1.731594947	3180392
641	2.46624492	2357568
642	1.49912087	4537048
643	1.646944282	3772022
644	1.058383275	7648403
645	1.382382283	5919820
646	1.346099392	5674918
647	1.772844931	4004977
648	2.715789479	2175559
649	2.108761071	3141965
650	1.403775639	4517291
651	1.013905472	7237892
652	1.386503138	3828422
653	2.313619132	2790937
654	1.529674703	4132865
655	2.440447718	2578059
656	1.806181472	3691611
657	0.679773603	13159386
658	1.213149774	4912987
659	0.995795269	5110903
660	1.519826861	3579128
661	1.346764455	3701917
662	0.839640806	7459946
663	0.9320771	7043510
664	0.959053905	5929758
665	0.867275409	7241574
666	1.362382651	4104349
667	1.402469259	3946478
668	2.323595684	2475854
669	1.996175856	2782579
670	2.393170063	2744843
671	1.80444828	3139755
672	2.431440038	2438377
673	3.486039615	1927641
674	2.071949524	3071647
675	2.498372212	2466531
676	2.032246345	2969581
677	2.197675316	2447218
678	2.619969242	2493143
